,name,city,state,id
0,NorthGate Brewing ,Minneapolis, MN,0
1,Against the Grain Brewery,Louisville, KY,1
2,Jack's Abby Craft Lagers,Framingham, MA,2
3,Mike Hess Brewing Company,San Diego, CA,3
4,Fort Point Beer Company,San Francisco, CA,4
5,COAST Brewing Company,Charleston, SC,5
6,Great Divide Brewing Company,Denver, CO,6
7,Tapistry Brewing,Bridgman, MI,7
8,Big Lake Brewing,Holland, MI,8
9,The Mitten Brewing Company,Grand Rapids, MI,9
10,Brewery Vivant,Grand Rapids, MI,10
11,Petoskey Brewing,Petoskey, MI,11
12,Blackrocks Brewery,Marquette, MI,12
13,Perrin Brewing Company,Comstock Park, MI,13
14,Witch's Hat Brewing Company,South Lyon, MI,14
15,Founders Brewing Company,Grand Rapids, MI,15
16,Flat 12 Bierwerks,Indianapolis, IN,16
17,Tin Man Brewing Company,Evansville, IN,17
18,Black Acre Brewing Co.,Indianapolis, IN,18
19,Brew Link Brewing,Plainfield, IN,19
20,Bare Hands Brewery,Granger, IN,20
21,Three Pints Brewing,Martinsville, IN,21
22,Four Fathers Brewing ,Valparaiso, IN,22
23,Indiana City Brewing,Indianapolis, IN,23
24,Burn 'Em Brewing,Michigan City, IN,24
25,Sun King Brewing Company,Indianapolis, IN,25
26,Evil Czech Brewery,Mishawaka, IN,26
27,450 North Brewing Company,Columbus, IN,27
28,Taxman Brewing Company,Bargersville, IN,28
29,Cedar Creek Brewery,Seven Points, TX,29
30,SanTan Brewing Company,Chandler, AZ,30
31,Boulevard Brewing Company,Kansas City, MO,31
32,James Page Brewing Company,Stevens Point, WI,32
33,The Dudes' Brewing Company,Torrance, CA,33
34,Ballast Point Brewing Company,San Diego, CA,34
35,Anchor Brewing Company,San Francisco, CA,35
36,Figueroa Mountain Brewing Company,Buellton, CA,36
37,Avery Brewing Company,Boulder, CO,37
38,Twisted X Brewing Company,Dripping Springs, TX,38
39,Gonzo's BiggDogg Brewing,Kalamazoo, MI,39
40,Big Muddy Brewing,Murphysboro, IL,40
41,Lost Nation Brewing,East Fairfield, VT,41
42,Rising Tide Brewing Company,Portland, ME,42
43,Rivertowne Brewing Company,Export, PA,43
44,Revolution Brewing Company,Chicago, IL,44
45,Tallgrass Brewing Company,Manhattan, KS,45
46,Sixpoint Craft Ales,Brooklyn, NY,46
47,White Birch Brewing,Hooksett, NH,47
48,Firestone Walker Brewing Company,Paso Robles, CA,48
49,SweetWater Brewing Company,Atlanta, GA,49
50,Flying Mouse Brewery,Troutville, VA,50
51,Upslope Brewing Company,Boulder, CO,51
52,Pipeworks Brewing Company,Chicago, IL,52
53,Bent Brewstillery,Roseville, MN,53
54,Flesk Brewing Company,Lombard, IL,54
55,Pollyanna Brewing Company,Lemont, IL,55
56,BuckleDown Brewing,Lyons, IL,56
57,Destihl Brewery,Bloomington, IL,57
58,Summit Brewing Company,St. Paul, MN,58
59,Latitude 42 Brewing Company,Portage, MI,59
60,4 Hands Brewing Company,Saint Louis, MO,60
61,Surly Brewing Company,Brooklyn Center, MN,61
62,Against The Grain Brewery,Louisville, KY,62
63,Crazy Mountain Brewing Company,Edwards, CO,63
64,SlapShot Brewing Company,Chicago, IL,64
65,Mikerphone Brewing,Chicago, IL,65
66,Freetail Brewing Company,San Antonio, TX,66
67,3 Daughters Brewing,St Petersburg, FL,67
68,Red Shedman Farm Brewery and Hop...,Mt. Airy, MD,68
69,Appalachian Mountain Brewery,Boone, NC,69
70,Birdsong Brewing Company,Charlotte, NC,70
71,Union Craft Brewing,Baltimore, MD,71
72,Atwater Brewery,Detroit, MI,72
73,Ale Asylum,Madison, WI,73
74,Two Brothers Brewing Company,Warrenville, IL,74
75,Bent Paddle Brewing Company,Duluth, MN,75
76,Bell's Brewery,Kalamazoo, MI,76
77,Blue Owl Brewing,Austin, TX,77
78,Speakasy Ales & Lagers,San Francisco, CA,78
79,Black Tooth Brewing Company,Sheridan, WY,79
80,Hopworks Urban Brewery,Portland, OR,80
81,Epic Brewing,Denver, CO,81
82,New Belgium Brewing Company,Fort Collins, CO,82
83,Sierra Nevada Brewing Company,Chico, CA,83
84,Keweenaw Brewing Company,Houghton, MI,84
85,Brewery Terra Firma,Traverse City, MI,85
86,Grey Sail Brewing Company,Westerly, RI,86
87,Kirkwood Station Brewing Company,Kirkwood, MO,87
88,Goose Island Brewing Company,Chicago, IL,88
89,Broad Brook Brewing LLC,East Windsor, CT,89
90,The Lion Brewery,Wilkes-Barre, PA,90
91,Madtree Brewing Company,Cincinnati, OH,91
92,Jackie O's Pub & Brewery,Athens, OH,92
93,Rhinegeist Brewery,Cincinnati, OH,93
94,Warped Wing Brewing Company,Dayton, OH,94
